,Timestamp Line,YouTube Link
8125,**No transcript found 😶**,https://www.youtube.com/watch?v=bwcoC8ENT3I
10436,**No transcript found 😶**,https://www.youtube.com/watch?v=-c71--SWBeI
21764,**No transcript found 😶**,https://www.youtube.com/watch?v=QBgtRnWg8rQ
59433,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe9
59477,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59480,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59536,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59539,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59542,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59545,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59548,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59551,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59554,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59557,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59560,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59563,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59566,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59569,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
59572,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59575,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59578,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59581,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59584,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59587,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59590,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59593,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59596,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59599,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59602,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59605,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
59608,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59611,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
59614,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
59617,**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
