Timestamp Line,YouTube Link
- 00:11: Heavy Muscle Radio: Introduction and Show Kick-Off,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 00:11: Dave Palumbo welcomes Chris Aceto to the show.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 00:50: Excitement for Dave's upcoming daughter and congratulations to India Paulino on her new baby.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 02:50: Dubai Muscle Expo: A Star-Studded Event and Kai Greene's Status,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 02:50: Dave laments missing the Dubai Muscle Expo and its impressive lineup.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 03:26: A discussion of Kai Greene's phenomenal physique and his absence from the Mr. Olympia stage.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 03:53: Comparing Kai Greene's build and stage presence to Phil Heath's.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 08:04: Dubai Expo Confrontation: William Bonac vs. Lui Marco,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 08:04: Breaking down the heated exchange between William Bonac and internet figure Lui Marco.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 09:04: Exploring Lui Marco's growing online influence and ties to Oxygen Gym.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 10:07: The root of Bonac's issue: Marco's remarks about him.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 13:43: Aceto questions the wisdom of Bonac responding to Marco publicly.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 11:40: Accountability in the Digital Age: Internet Personalities,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 11:40: The importance of online personalities being prepared to defend their views in person.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 15:05: Revisiting Phil Heath's previous encounters and disagreements with Louie Marco.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
"- 18:05: Undercurrents: Bonac, Marco, and Gym Affiliations",https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 18:05: Delving into Louie Marco's connection with Bader of Oxygen Gym.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 18:31: Highlighting William Bonac's affiliation with a rival gym owner in Kuwait.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 19:07: Exploring how these affiliations might have fueled tensions.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 19:47: Speculating on the Origins of the Bonac-Marco Feud,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 19:47: Examining the Olympia prejudging and potential misunderstandings of RX Muscle's coverage.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 21:04: Considering Louie Marco's support for Ramy as the winner and its impact on Bonac.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 23:26: Hosts' Perspectives on Bonac and Marco,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 23:26: Both Dave and Chris affirm their positive feelings towards William Bonac and Louie Marco.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 23:55: Emphasizing the need for non-violent conflict resolution.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 24:50: Vegan Gains Controversy: Targeting Dave Palumbo,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 24:50: Addressing Vegan Gains' video targeting Dave Palumbo and RXMuscle.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 25:46: The inflammatory accusation that Dave contributed to Dallas McCarver's death.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
    - 26:12: Dave's measured response and invitation to a public debate.,https://www.youtube.com/watch?v=QBgtRnWg8rQ
,https://www.youtube.com/watch?v=QBgtRnWg8rQ
- 26:39: Dallas McCarver's Passing: Genetics and Contributing Factors,https://www.youtube.com/watch?v=QBgtRnWg8rQ
